Gene_set,Term,Overlap,P-value,Adjusted P-value,Genes
GO_Biological_Process_2021,negative regulation of serine-type peptidase activity (GO:1902572), 2/6,0.0007164419611361558,0.0303293763547639,ANXA8L1;ANXA8
GO_Biological_Process_2021,intermediate filament bundle assembly (GO:0045110), 2/7,0.000998416556093053,0.0382955813409659,KRT14;PKP1
GO_Biological_Process_2021,antimicrobial humoral immune response mediated by antimicrobial peptide (GO:0061844), 4/64,0.0010553900369557,0.0382955813409659,PGLYRP3;RNASE7;KRT6A;S100A7
GO_Biological_Process_2021,negative regulation of phospholipase activity (GO:0010519), 2/8,0.0013251167655955,0.0420724573076582,ANXA8L1;ANXA8
GO_Biological_Process_2021,regulation of phospholipase A2 activity (GO:0032429), 2/8,0.0013251167655955,0.0420724573076582,ANXA8L1;ANXA8
GO_Biological_Process_2021,defense response to Gram-positive bacterium (GO:0050830), 4/70,0.0014745533848981,0.0440631246781326,GBP6;PGLYRP3;RNASE7;KRT6A
GO_Biological_Process_2021,hemidesmosome assembly (GO:0031581), 2/12,0.0030666522479577,0.0865477412201402,KRT14;KRT5
GO_Biological_Process_2021,antibacterial humoral response (GO:0019731), 3/44,0.0036045538787404,0.0963743879157974,RNASE7;PI3;WFDC5
GO_Biological_Process_2021,neurotrophin TRK receptor signaling pathway (GO:0048011), 2/15,0.004812150361469,0.122228619181315,NTRK2;HAP1
GO_Biological_Process_2021,skeletal system development (GO:0001501), 5/158,0.0051227041083579,0.1239206517640868,DLX5;DLX6;EN1;BMP7;PTHLH
GO_Biological_Process_2021,negative regulation of amyloid-beta formation (GO:1902430), 2/17,0.0061760908407669,0.1417227557671424,NTRK2;HAP1
GO_Biological_Process_2021,regulation of proteolysis (GO:0030162), 3/54,0.0064165814618981,0.1417227557671424,SERPINB3;SERPINB4;SERPINB13
GO_Biological_Process_2021,intermediate filament organization (GO:0045109), 2/18,0.0069164024538674,0.1447771516235785,KRT14;PKP1
GO_Biological_Process_2021,establishment of skin barrier (GO:0061436), 2/19,0.0076948486099146,0.1447771516235785,KRT16;TP63
GO_Biological_Process_2021,regulation of water loss via skin (GO:0033561), 2/19,0.0076948486099146,0.1447771516235785,KRT16;TP63
GO_Biological_Process_2021,negative regulation of amyloid precursor protein catabolic process (GO:1902992), 2/19,0.0076948486099146,0.1447771516235785,NTRK2;HAP1
GO_Biological_Process_2021,oligodendrocyte differentiation (GO:0048709), 2/20,0.0085108669895334,0.1544114439529634,PTPRZ1;ZNF488
GO_Biological_Process_2021,neurotrophin signaling pathway (GO:0038179), 2/21,0.0093639011818873,0.1640297172551295,NTRK2;HAP1
GO_Biological_Process_2021,epithelium development (GO:0060429), 4/122,0.0106922535117551,0.1810554927990544,UPK1B;KRT16;RHCG;KRT6A
GO_Biological_Process_2021,morphogenesis of an epithelium (GO:0002009), 2/30,0.0186179663566616,0.305094416425294,KRT16;KRT6A
GO_Biological_Process_2021,innate immune response (GO:0045087), 6/302,0.0196950083652644,0.3126582577985726,PGLYRP3;KRT16;RNASE7;PI3;WFDC5;S100A7
GO_Biological_Process_2021,regulation of amyloid-beta formation (GO:1902003), 2/34,0.02357903433833,0.3250504833046524,NTRK2;HAP1
GO_Biological_Process_2021,cell-substrate junction assembly (GO:0007044), 2/34,0.02357903433833,0.3250504833046524,KRT14;KRT5
GO_Biological_Process_2021,peptidyl-tyrosine dephosphorylation (GO:0035335), 2/35,0.0248950472988578,0.3250504833046524,PTPRZ1;DUSP9
GO_Biological_Process_2021,epithelial cell migration (GO:0010631), 2/41,0.0333910781691019,0.3250504833046524,KRT16;FAT2
GO_Biological_Process_2021,positive regulation of biomineral tissue development (GO:0070169), 2/41,0.0333910781691019,0.3250504833046524,AMTN;BMP7
GO_Biological_Process_2021,endosome organization (GO:0007032), 2/41,0.0333910781691019,0.3250504833046524,ANXA8L1;ANXA8
GO_Biological_Process_2021,neuron differentiation (GO:0030182), 4/174,0.0341054154601292,0.3250504833046524,NTRK2;TENM2;IRX4;EN1
GO_Biological_Process_2021,amine transport (GO:0015837), 1/5,0.0345166225420593,0.3250504833046524,RHCG
GO_Biological_Process_2021,fatty acid omega-oxidation (GO:0010430), 1/5,0.0345166225420593,0.3250504833046524,ADH7
GO_Biological_Process_2021,regulation of adenylate cyclase-activating G protein-coupled receptor signaling pathway (GO:0106070), 1/5,0.0345166225420593,0.3250504833046524,MRAP2
GO_Biological_Process_2021,histone citrullination (GO:0036414), 1/5,0.0345166225420593,0.3250504833046524,PADI3
GO_Biological_Process_2021,cellular response to brain-derived neurotrophic factor stimulus (GO:1990416), 1/5,0.0345166225420593,0.3250504833046524,NTRK2
GO_Biological_Process_2021,positive regulation of non-motile cilium assembly (GO:1902857), 1/5,0.0345166225420593,0.3250504833046524,HAP1
GO_Biological_Process_2021,regulation of glomerular mesangial cell proliferation (GO:0072124), 1/5,0.0345166225420593,0.3250504833046524,BMP7
GO_Biological_Process_2021,regulation of heart growth (GO:0060420), 1/5,0.0345166225420593,0.3250504833046524,DUSP9
GO_Biological_Process_2021,protein citrullination (GO:0018101), 1/5,0.0345166225420593,0.3250504833046524,PADI3
GO_Biological_Process_2021,negative regulation of proteolysis (GO:0045861), 2/43,0.0364407150634271,0.3250504833046524,SERPINB3;SERPINB4
GO_Biological_Process_2021,positive regulation of osteoblast differentiation (GO:0045669), 2/44,0.0380043446882265,0.3250504833046524,BMP7;TP63
GO_Biological_Process_2021,vesicle organization (GO:0016050), 2/46,0.0412070766504708,0.3250504833046524,ANXA8L1;ANXA8
GO_Biological_Process_2021,equilibrioception (GO:0050957), 1/6,0.041276676899358,0.3250504833046524,USH1G
GO_Biological_Process_2021,regulation of response to reactive oxygen species (GO:1901031), 1/6,0.041276676899358,0.3250504833046524,BMP7
GO_Biological_Process_2021,regulation of superoxide metabolic process (GO:0090322), 1/6,0.041276676899358,0.3250504833046524,BMP7
GO_Biological_Process_2021,positive regulation of non-membrane spanning protein tyrosine kinase activity (GO:1903997), 1/6,0.041276676899358,0.3250504833046524,NTRK2
GO_Biological_Process_2021,leucine transport (GO:0015820), 1/6,0.041276676899358,0.3250504833046524,SLC6A15
GO_Biological_Process_2021,regulation of keratinocyte apoptotic process (GO:1902172), 1/6,0.041276676899358,0.3250504833046524,SERPINB13
GO_Biological_Process_2021,positive regulation of tooth mineralization (GO:0070172), 1/6,0.041276676899358,0.3250504833046524,AMTN
GO_Biological_Process_2021,regulation of non-motile cilium assembly (GO:1902855), 1/6,0.041276676899358,0.3250504833046524,HAP1
GO_Biological_Process_2021,proline transport (GO:0015824), 1/6,0.041276676899358,0.3250504833046524,SLC6A15
GO_Biological_Process_2021,protection from natural killer cell mediated cytotoxicity (GO:0042270), 1/6,0.041276676899358,0.3250504833046524,SERPINB4
GO_Biological_Process_2021,photoreceptor cell outer segment organization (GO:0035845), 1/6,0.041276676899358,0.3250504833046524,CDHR1
GO_Biological_Process_2021,negative regulation of MAP kinase activity (GO:0043407), 2/48,0.0445076271319304,0.3250504833046524,SERPINB3;BMP7
GO_Biological_Process_2021,regulation of protein metabolic process (GO:0051246), 2/48,0.0445076271319304,0.3250504833046524,SERPINB4;SERPINB13
GO_Biological_Process_2021,chloride transmembrane transport (GO:1902476), 2/50,0.0479026862337682,0.3250504833046524,GABRQ;GABRA3
GO_Biological_Process_2021,ammonium transport (GO:0015696), 1/7,0.047989736708364,0.3250504833046524,RHCG
GO_Biological_Process_2021,gap junction assembly (GO:0016264), 1/7,0.047989736708364,0.3250504833046524,GJB6
GO_Biological_Process_2021,positive regulation of fibroblast apoptotic process (GO:2000271), 1/7,0.047989736708364,0.3250504833046524,TP63
GO_Biological_Process_2021,cellular ion homeostasis (GO:0006873), 1/7,0.047989736708364,0.3250504833046524,RHCG
GO_Biological_Process_2021,regulation of entry of bacterium into host cell (GO:2000535), 1/7,0.047989736708364,0.3250504833046524,KRT6A
GO_Biological_Process_2021,sinoatrial node development (GO:0003163), 1/7,0.047989736708364,0.3250504833046524,GJB6
GO_Biological_Process_2021,collagen-activated tyrosine kinase receptor signaling pathway (GO:0038063), 1/7,0.047989736708364,0.3250504833046524,COL4A6
GO_Biological_Process_2021,"positive regulation of synaptic transmission, GABAergic (GO:0032230)", 1/7,0.047989736708364,0.3250504833046524,HAP1
GO_Biological_Process_2021,regulation of non-membrane spanning protein tyrosine kinase activity (GO:1903995), 1/7,0.047989736708364,0.3250504833046524,NTRK2
GO_Biological_Process_2021,pericardium morphogenesis (GO:0003344), 1/7,0.047989736708364,0.3250504833046524,BMP7
GO_Biological_Process_2021,cardiac muscle tissue development (GO:0048738), 2/53,0.0531654153249175,0.3266507289467332,GJB6;BMP7
GO_Biological_Process_2021,"negative regulation of CD4-positive, alpha-beta T cell proliferation (GO:2000562)", 1/8,0.0546561259064415,0.3266507289467332,LGALS7
GO_Biological_Process_2021,ammonium transmembrane transport (GO:0072488), 1/8,0.0546561259064415,0.3266507289467332,RHCG
GO_Biological_Process_2021,negative regulation of mitotic nuclear division (GO:0045839), 1/8,0.0546561259064415,0.3266507289467332,BMP7
GO_Biological_Process_2021,negative regulation of muscle cell apoptotic process (GO:0010656), 1/8,0.0546561259064415,0.3266507289467332,BMP7
GO_Biological_Process_2021,negative regulation of striated muscle cell apoptotic process (GO:0010664), 1/8,0.0546561259064415,0.3266507289467332,BMP7
GO_Biological_Process_2021,positive regulation of oligodendrocyte differentiation (GO:0048714), 1/8,0.0546561259064415,0.3266507289467332,PTPRZ1
GO_Biological_Process_2021,leukocyte aggregation (GO:0070486), 1/8,0.0546561259064415,0.3266507289467332,BMP7
GO_Biological_Process_2021,thyroid gland development (GO:0030878), 1/8,0.0546561259064415,0.3266507289467332,FOXE1
GO_Biological_Process_2021,osteoblast development (GO:0002076), 1/8,0.0546561259064415,0.3266507289467332,PTHLH
GO_Biological_Process_2021,regulation of cellular response to oxidative stress (GO:1900407), 1/9,0.0612761663405728,0.3347128225915164,BMP7
GO_Biological_Process_2021,negative regulation of RNA catabolic process (GO:1902369), 1/9,0.0612761663405728,0.3347128225915164,PKP1
GO_Biological_Process_2021,regulation of fibroblast apoptotic process (GO:2000269), 1/9,0.0612761663405728,0.3347128225915164,TP63
GO_Biological_Process_2021,collagen-activated signaling pathway (GO:0038065), 1/9,0.0612761663405728,0.3347128225915164,COL4A6
GO_Biological_Process_2021,cytolysis by host of symbiont cells (GO:0051838), 1/9,0.0612761663405728,0.3347128225915164,KRT6A
GO_Biological_Process_2021,cytolysis in other organism involved in symbiotic interaction (GO:0051801), 1/9,0.0612761663405728,0.3347128225915164,KRT6A
GO_Biological_Process_2021,pericardium development (GO:0060039), 1/9,0.0612761663405728,0.3347128225915164,BMP7
GO_Biological_Process_2021,endochondral ossification (GO:0001958), 1/9,0.0612761663405728,0.3347128225915164,DLX5
GO_Biological_Process_2021,negative regulation of hydrolase activity (GO:0051346), 2/58,0.0623643076677747,0.3370326414386125,SERPINB3;SERPINB4
GO_Biological_Process_2021,homophilic cell adhesion via plasma membrane adhesion molecules (GO:0007156), 2/60,0.0661847397731125,0.3446789029135977,IGSF11;FAT2
GO_Biological_Process_2021,primary alcohol catabolic process (GO:0034310), 1/10,0.0678501777388971,0.3446789029135977,AKR1B10
GO_Biological_Process_2021,regulation of organ growth (GO:0046620), 1/10,0.0678501777388971,0.3446789029135977,DUSP9
GO_Biological_Process_2021,morphogenesis of an epithelial sheet (GO:0002011), 1/10,0.0678501777388971,0.3446789029135977,BMP7
GO_Biological_Process_2021,ectoderm development (GO:0007398), 1/10,0.0678501777388971,0.3446789029135977,KRT6B
GO_Biological_Process_2021,negative regulation of alpha-beta T cell proliferation (GO:0046642), 1/10,0.0678501777388971,0.3446789029135977,LGALS7
GO_Biological_Process_2021,neuropeptide signaling pathway (GO:0007218), 2/63,0.0720572215556415,0.3466446483481019,NXPH4;NTS
GO_Biological_Process_2021,diterpenoid metabolic process (GO:0016101), 2/64,0.0740511255869877,0.3466446483481019,AKR1B10;ADH7
GO_Biological_Process_2021,positive regulation of dendrite development (GO:1900006), 1/11,0.0743784776967384,0.3466446483481019,BMP7
GO_Biological_Process_2021,axonal transport of mitochondrion (GO:0019896), 1/11,0.0743784776967384,0.3466446483481019,HAP1
GO_Biological_Process_2021,"regulation of CD4-positive, alpha-beta T cell proliferation (GO:2000561)", 1/11,0.0743784776967384,0.3466446483481019,LGALS7
GO_Biological_Process_2021,negative regulation of nuclear division (GO:0051784), 1/11,0.0743784776967384,0.3466446483481019,BMP7
GO_Biological_Process_2021,"synaptic transmission, GABAergic (GO:0051932)", 1/11,0.0743784776967384,0.3466446483481019,GABRA3
GO_Biological_Process_2021,mesonephros development (GO:0001823), 1/11,0.0743784776967384,0.3466446483481019,BMP7
GO_Biological_Process_2021,regulation of microtubule-based movement (GO:0060632), 1/11,0.0743784776967384,0.3466446483481019,HAP1
GO_Biological_Process_2021,BMP signaling pathway (GO:0030509), 2/65,0.0760626577951925,0.3481065780176378,DLX5;BMP7
GO_Biological_Process_2021,inorganic anion transmembrane transport (GO:0098661), 2/65,0.0760626577951925,0.3481065780176378,GABRQ;GABRA3
GO_Biological_Process_2021,cell-cell junction assembly (GO:0007043), 2/66,0.0780914778493693,0.3510904435009398,GJB6;PKP1
GO_Biological_Process_2021,ethanol oxidation (GO:0006069), 1/12,0.0808613816724605,0.3510904435009398,ADH7
GO_Biological_Process_2021,negative regulation of JUN kinase activity (GO:0043508), 1/12,0.0808613816724605,0.3510904435009398,SERPINB3
GO_Biological_Process_2021,histone H3-K9 demethylation (GO:0033169), 1/12,0.0808613816724605,0.3510904435009398,HR
GO_Biological_Process_2021,thyroid hormone generation (GO:0006590), 1/12,0.0808613816724605,0.3510904435009398,FOXE1
GO_Biological_Process_2021,mitochondrion distribution (GO:0048311), 1/12,0.0808613816724605,0.3510904435009398,HAP1
GO_Biological_Process_2021,wound healing (GO:0042060), 2/70,0.0863729643410215,0.3553898380049398,SPRR3;KRT6A
GO_Biological_Process_2021,"negative regulation of CD4-positive, alpha-beta T cell activation (GO:2000515)", 1/13,0.0872992029804689,0.3553898380049398,LGALS7
GO_Biological_Process_2021,endochondral bone morphogenesis (GO:0060350), 1/13,0.0872992029804689,0.3553898380049398,DLX5
GO_Biological_Process_2021,negative regulation of neuron apoptotic process (GO:0043524), 2/71,0.0884832523264598,0.3553898380049398,NTRK2;PTPRZ1
GO_Biological_Process_2021,cellular response to BMP stimulus (GO:0071773), 2/71,0.0884832523264598,0.3553898380049398,DLX5;BMP7
GO_Biological_Process_2021,defense response to Gram-negative bacterium (GO:0050829), 2/73,0.0927494903562878,0.3553898380049398,RNASE7;S100A7
GO_Biological_Process_2021,negative regulation of cartilage development (GO:0061037), 1/14,0.0936922528045293,0.3553898380049398,PTHLH
GO_Biological_Process_2021,positive regulation of brown fat cell differentiation (GO:0090336), 1/14,0.0936922528045293,0.3553898380049398,BMP7
GO_Biological_Process_2021,cAMP metabolic process (GO:0046058), 1/14,0.0936922528045293,0.3553898380049398,PTHLH
GO_Biological_Process_2021,neuromuscular process controlling balance (GO:0050885), 1/14,0.0936922528045293,0.3553898380049398,USH1G
GO_Biological_Process_2021,thymus development (GO:0048538), 1/14,0.0936922528045293,0.3553898380049398,FOXE1
GO_Biological_Process_2021,positive regulation of T cell chemotaxis (GO:0010820), 1/14,0.0936922528045293,0.3553898380049398,S100A7
GO_Biological_Process_2021,defense response to protozoan (GO:0042832), 1/14,0.0936922528045293,0.3553898380049398,GBP6
GO_Biological_Process_2021,detection of bacterium (GO:0016045), 1/14,0.0936922528045293,0.3553898380049398,PGLYRP3
GO_Biological_Process_2021,chloride transport (GO:0006821), 2/76,0.0992583435338061,0.3553898380049398,GABRQ;GABRA3
GO_Biological_Process_2021,cellular response to growth factor stimulus (GO:0071363), 3/158,0.0994326169783347,0.3553898380049398,NTRK2;DLX5;BMP7
GO_Biological_Process_2021,negative regulation of chondrocyte differentiation (GO:0032331), 1/15,0.1000408402258,0.3553898380049398,PTHLH
GO_Biological_Process_2021,"regulation of synaptic transmission, GABAergic (GO:0032228)", 1/15,0.1000408402258,0.3553898380049398,HAP1
GO_Biological_Process_2021,fibrinolysis (GO:0042730), 1/15,0.1000408402258,0.3553898380049398,SERPINB2
GO_Biological_Process_2021,regulation of T cell chemotaxis (GO:0010819), 1/15,0.1000408402258,0.3553898380049398,S100A7
GO_Biological_Process_2021,response to ethanol (GO:0045471), 1/15,0.1000408402258,0.3553898380049398,ADH7
GO_Biological_Process_2021,positive regulation of heterotypic cell-cell adhesion (GO:0034116), 1/15,0.1000408402258,0.3553898380049398,BMP7
GO_Biological_Process_2021,steroid hormone mediated signaling pathway (GO:0043401), 1/15,0.1000408402258,0.3553898380049398,BMP7
GO_Biological_Process_2021,central nervous system neuron development (GO:0021954), 1/15,0.1000408402258,0.3553898380049398,NTRK2
GO_Biological_Process_2021,peptidyl-arginine modification (GO:0018195), 1/15,0.1000408402258,0.3553898380049398,PADI3
GO_Biological_Process_2021,photoreceptor cell development (GO:0042461), 1/15,0.1000408402258,0.3553898380049398,CDHR1
GO_Biological_Process_2021,negative regulation of natural killer cell mediated cytotoxicity (GO:0045953), 1/16,0.1063452722007835,0.3601559885199868,SERPINB4
GO_Biological_Process_2021,retrograde axonal transport (GO:0008090), 1/16,0.1063452722007835,0.3601559885199868,HAP1
GO_Biological_Process_2021,killing by host of symbiont cells (GO:0051873), 1/16,0.1063452722007835,0.3601559885199868,KRT6A
GO_Biological_Process_2021,mesenchyme development (GO:0060485), 1/16,0.1063452722007835,0.3601559885199868,BMP7
GO_Biological_Process_2021,transepithelial transport (GO:0070633), 1/16,0.1063452722007835,0.3601559885199868,RHCG
GO_Biological_Process_2021,odontogenesis of dentin-containing tooth (GO:0042475), 1/16,0.1063452722007835,0.3601559885199868,AMTN
GO_Biological_Process_2021,oligodendrocyte development (GO:0014003), 1/16,0.1063452722007835,0.3601559885199868,ZNF488
GO_Biological_Process_2021,positive regulation of cell differentiation (GO:0045597), 4/258,0.107734642741106,0.3624450232614693,SERPINB3;FOXN1;BMP7;TP63
GO_Biological_Process_2021,mesonephric tubule development (GO:0072164), 1/17,0.1126058536126832,0.3670422560555816,BMP7
GO_Biological_Process_2021,pharyngeal system development (GO:0060037), 1/17,0.1126058536126832,0.3670422560555816,BMP7
GO_Biological_Process_2021,regulation of osteoblast differentiation (GO:0045667), 2/83,0.1149147584300991,0.3670422560555816,BMP7;TP63
GO_Biological_Process_2021,cell-cell adhesion via plasma-membrane adhesion molecules (GO:0098742), 3/170,0.1169823090456747,0.3670422560555816,IGSF11;TENM2;FAT2
GO_Biological_Process_2021,regulation of transcription by RNA polymerase I (GO:0006356), 1/18,0.118822887239702,0.3670422560555816,BNC1
GO_Biological_Process_2021,regulation of brown fat cell differentiation (GO:0090335), 1/18,0.118822887239702,0.3670422560555816,BMP7
GO_Biological_Process_2021,regulation of cartilage development (GO:0061035), 1/18,0.118822887239702,0.3670422560555816,PTHLH
GO_Biological_Process_2021,positive regulation of glial cell differentiation (GO:0045687), 1/18,0.118822887239702,0.3670422560555816,PTPRZ1
GO_Biological_Process_2021,regulation of delayed rectifier potassium channel activity (GO:1902259), 1/18,0.118822887239702,0.3670422560555816,KCNG1
GO_Biological_Process_2021,positive regulation of lymphocyte chemotaxis (GO:0140131), 1/18,0.118822887239702,0.3670422560555816,S100A7
GO_Biological_Process_2021,negative regulation of cellular amide metabolic process (GO:0034249), 2/86,0.1218070679235351,0.3670422560555816,NTRK2;HAP1
GO_Biological_Process_2021,ethanol metabolic process (GO:0006067), 1/19,0.1249966738142039,0.3670422560555816,ADH7
GO_Biological_Process_2021,positive regulation of cilium assembly (GO:0045724), 1/19,0.1249966738142039,0.3670422560555816,HAP1
GO_Biological_Process_2021,positive regulation of G protein-coupled receptor signaling pathway (GO:0045745), 1/19,0.1249966738142039,0.3670422560555816,MRAP2
GO_Biological_Process_2021,branching involved in ureteric bud morphogenesis (GO:0001658), 1/19,0.1249966738142039,0.3670422560555816,HOXD11
GO_Biological_Process_2021,heart trabecula morphogenesis (GO:0061384), 1/19,0.1249966738142039,0.3670422560555816,BMP7
GO_Biological_Process_2021,regulation of epithelial cell differentiation (GO:0030856), 1/19,0.1249966738142039,0.3670422560555816,FOXN1
GO_Biological_Process_2021,positive regulation of monocyte chemotaxis (GO:0090026), 1/19,0.1249966738142039,0.3670422560555816,S100A7
GO_Biological_Process_2021,ureteric bud development (GO:0001657), 1/19,0.1249966738142039,0.3670422560555816,BMP7
GO_Biological_Process_2021,ureteric bud morphogenesis (GO:0060675), 1/19,0.1249966738142039,0.3670422560555816,HOXD11
GO_Biological_Process_2021,mitochondrion localization (GO:0051646), 1/19,0.1249966738142039,0.3670422560555816,HAP1
GO_Biological_Process_2021,regulation of oligodendrocyte differentiation (GO:0048713), 1/19,0.1249966738142039,0.3670422560555816,PTPRZ1
GO_Biological_Process_2021,positive regulation of neuron projection development (GO:0010976), 2/88,0.1264572635549221,0.3691970683097727,NTRK2;BMP7
GO_Biological_Process_2021,collagen fibril organization (GO:0030199), 2/89,0.1287981667440273,0.3721384138533264,COL7A1;COL4A6
GO_Biological_Process_2021,positive regulation of epithelial cell differentiation (GO:0030858), 1/20,0.1311275119680028,0.3721384138533264,FOXN1
GO_Biological_Process_2021,regulation of granulocyte chemotaxis (GO:0071622), 1/20,0.1311275119680028,0.3721384138533264,S100A7
GO_Biological_Process_2021,dopaminergic neuron differentiation (GO:0071542), 1/20,0.1311275119680028,0.3721384138533264,EN1
GO_Biological_Process_2021,energy reserve metabolic process (GO:0006112), 1/20,0.1311275119680028,0.3721384138533264,MRAP2
GO_Biological_Process_2021,positive regulation of macromolecule metabolic process (GO:0010604), 5/384,0.1327253966768317,0.3745805639546141,NTRK2;PKP1;IL36G;LGALS7;BMP7
GO_Biological_Process_2021,retinoid metabolic process (GO:0001523), 2/92,0.1358810155911706,0.3747611546292853,AKR1B10;ADH7
GO_Biological_Process_2021,retinol metabolic process (GO:0042572), 1/21,0.1372156983485178,0.3747611546292853,ADH7
GO_Biological_Process_2021,negative regulation of protein localization to cell periphery (GO:1904376), 1/21,0.1372156983485178,0.3747611546292853,MRAP2
GO_Biological_Process_2021,negative regulation of protein localization to plasma membrane (GO:1903077), 1/21,0.1372156983485178,0.3747611546292853,MRAP2
GO_Biological_Process_2021,cellular response to steroid hormone stimulus (GO:0071383), 1/21,0.1372156983485178,0.3747611546292853,BMP7
GO_Biological_Process_2021,positive regulation of transcription from RNA polymerase II promoter involved in cellular response to chemical stimulus (GO:1901522), 1/21,0.1372156983485178,0.3747611546292853,DLX5
GO_Biological_Process_2021,negative regulation of MAPK cascade (GO:0043409), 2/94,0.1406505227980997,0.3754414316254684,DUSP9;BMP7
GO_Biological_Process_2021,positive regulation of calcium ion transmembrane transporter activity (GO:1901021), 1/22,0.1432615275311786,0.3754414316254684,HAP1
GO_Biological_Process_2021,positive regulation of granulocyte chemotaxis (GO:0071624), 1/22,0.1432615275311786,0.3754414316254684,S100A7
GO_Biological_Process_2021,negative regulation of phosphate metabolic process (GO:0045936), 1/22,0.1432615275311786,0.3754414316254684,BMP7
GO_Biological_Process_2021,cellular response to nerve growth factor stimulus (GO:1990090), 1/22,0.1432615275311786,0.3754414316254684,NTRK2
GO_Biological_Process_2021,positive regulation of peptidase activity (GO:0010952), 1/22,0.1432615275311786,0.3754414316254684,SERPINB3
GO_Biological_Process_2021,peptidyl-threonine dephosphorylation (GO:0035970), 1/22,0.1432615275311786,0.3754414316254684,DUSP9
GO_Biological_Process_2021,negative regulation of G protein-coupled receptor signaling pathway (GO:0045744), 1/23,0.1492652920740199,0.3754414316254684,MRAP2
GO_Biological_Process_2021,positive regulation of transcription by RNA polymerase I (GO:0045943), 1/23,0.1492652920740199,0.3754414316254684,BNC1
GO_Biological_Process_2021,regulation of neural precursor cell proliferation (GO:2000177), 1/23,0.1492652920740199,0.3754414316254684,PTPRZ1
GO_Biological_Process_2021,vesicle transport along microtubule (GO:0047496), 1/23,0.1492652920740199,0.3754414316254684,HAP1
GO_Biological_Process_2021,negative regulation of neuron death (GO:1901215), 2/98,0.1502950331732688,0.3754414316254684,NTRK2;PTPRZ1
GO_Biological_Process_2021,regulation of neuron apoptotic process (GO:0043523), 2/98,0.1502950331732688,0.3754414316254684,NTRK2;PTPRZ1
GO_Biological_Process_2021,negative regulation of neuron differentiation (GO:0045665), 1/24,0.1552272825349906,0.3754414316254684,BMP7
GO_Biological_Process_2021,negative regulation of NIK/NF-kappaB signaling (GO:1901223), 1/24,0.1552272825349906,0.3754414316254684,BMP7
GO_Biological_Process_2021,defense response to fungus (GO:0050832), 1/24,0.1552272825349906,0.3754414316254684,RNASE7
GO_Biological_Process_2021,dorsal/ventral pattern formation (GO:0009953), 1/24,0.1552272825349906,0.3754414316254684,HOXD11
GO_Biological_Process_2021,endocrine system development (GO:0035270), 1/24,0.1552272825349906,0.3754414316254684,FOXE1
GO_Biological_Process_2021,epithelial cell differentiation (GO:0030855), 2/101,0.1576133292006472,0.3754414316254684,UPK1B;RHCG
GO_Biological_Process_2021,positive regulation of ERBB signaling pathway (GO:1901186), 1/25,0.1611477875160956,0.3754414316254684,HAP1
GO_Biological_Process_2021,cardiac conduction system development (GO:0003161), 1/25,0.1611477875160956,0.3754414316254684,GJB6
